name_place,category,place,place_description,price,url_place,problem
Удивить свою вторую половинку в антикафе Жучки и Паучки,антикафе,"ул. Часовая, д. 23 к. 1","• 'Жучки-паучки' — особенное антикафе, предлагающее возможность аренды зала для развлекательных программ с участием животных. Это не просто кафе, а уникальное пространство разнообразия и веселья.

• Здесь вы погрузитесь в атмосферу удивительных встреч с различными животными, создавая неповторимые моменты радости и восхищения. Коллекция животных в 'Жучки-паучки' разнообразна и привлекательна, приглашая вас наслаждаться их обществом.

• Возможность аренды зала позволяет создать различные развлекательные программы под ваши предпочтения, будь то веселая вечеринка или тематическое мероприятие. 'Жучки-паучки' — это уникальный опыт, который подходит для разнообразных событий: дружеских встреч, празднования особых событий или просто веселого времяпрепровождения в кругу близких.",1600,https://yandex.ru/maps/-/CDeHRL8r,-
Полубоваться котиками в котокафе Котики и Люди ,антикафе,"Гиляровского, 17","• 'Котики и Люди' — уникальное кафе, приглашающее гостей насладиться уютом в ярких комнатах. Помимо общения с котами, здесь предусмотрены разнообразные развлечения: настольные игры, пазлы, книги и зона для коворкинга.

• Это место, где забота о животных гармонично сочетается с уютом и покоем для посетителей.

• В 'Котики и Люди' вы сможете провести время в расслабляющей обстановке, наслаждаясь присутствием милых котов, и в то же время воспользоваться различными формами развлечений, поддерживающих теплую атмосферу кафе.",650,https://yandex.ru/maps/-/CDeHRLlq,-
Подарить эмоции в котокафе Котофейня,антикафе,"Маросейка, 10/1","• В 'Котофейне' вас ждут отличные напитки и разнообразие развлечений: настольные игры, журналы, раскраски и уникальные сувениры.

• Особенностью места является забота о пушистых обитателях, взятых из московских приютов, делая время здесь еще более особенным и добрым.

• Вы не только насладитесь приятной атмосферой и восхитительными напитками, но также проведете увлекательное время с друзьями. Настольные игры, журналы и раскраски создают атмосферу творчества и уюта.

• Уникальные сувениры станут отличным напоминанием о визите и поддержат доброе дело приюта. В 'Котофейне' каждый гость может почувствовать радость и удовлетворение от визита, подчеркивая важность заботы о животных.",1300,https://yandex.ru/maps/-/CDeHRPJt,-
Посетить котокафе Мурчашка,антикафе,"2-й Полевой переулок, 2","• Здесь вас ждет 35 милых котов, небольшая библиотека, а также коллекция из более чем 50 настольных игр.

• Помимо этого, посетители могут наслаждаться бесплатным чаем, кофе и печеньками, а также пользоваться бесплатным WI-FI.

• Однако стоит помнить, что в 'Мурчашке' принято снимать верхнюю одежду и обувь у входа, чтобы создать комфортное пространство для котов и гостей.

• Все это делает 'Мурчашку' уютным и гостеприимным местом для тех, кто ценит время в компании пушистых друзей.",1000,https://yandex.ru/maps/-/CDeHRP1J,-
Провести время вдвоем в уютной обстановке в котокафе Котиссимо,антикафе,"Новая Басманная, 31, с1","• В 'Котиссимо' уютные уголки с библиотекой, стереосистемой, настольными играми, столетним пианино и странными вещами из московских квартир приглашают вас в атмосферу тепла и радости среди милых котов.

• Библиотека предлагает разнообразие литературных произведений, а стереосистема создает музыкальный фон. Настольные игры разнообразят ваш визит, а столетнее пианино добавит атмосферы старины.

• Странные вещи из прошлых эпох создают уникальный декор, делая каждый уголок интересным для исследования.

• Открыто ежедневно с 12:00 до 21:00, 'Котиссимо' приглашает вас насладиться атмосферой, где уют, разнообразие и милые коты создают неповторимый опыт.",1090,https://yandex.ru/maps/-/CDeHRP3H,креатив
Душевно провести время в анткафе Квартира 7,антикафе,"Большая Ордынка, 68","• 'Квартира 7' — это уютное пространство, которое словно переносит вас в атмосферу легкости, где ценят настольные игры и наслаждение кальяном.

• Оформленная в стиле четырех тематических малых залов и одного большого, 'Квартира 7' создает уникальное пространство для разнообразного и увлекательного времяпрепровождения.

• Здесь каждый найдет что-то по своему вкусу — будь то веселая компания друзей, уютное посиделки вдвоем или игры в большом формате.

• 'Квартира 7' — это не просто место, это плейс, где каждый гость может создать свой уникальный момент и насладиться яркими впечатлениями. Откройте для себя новый уровень развлечений и приятного времяпрепровождения в 'Квартире 7'.",1500,https://yandex.ru/maps/-/CDezUAIR,-
Вместе насладиться видом в антикафе Зеленая дверь ,антикафе,"переулок Милютинский, 19/4, строение 1","• 'Зеленая дверь' — это уютное и современное кафе в Москве, где каждый гость может насладиться не только ароматным чаем, кофе и вкусным печеньем, но также воспользоваться бесплатным Wi-Fi.

• Удивительно, что в 'Зеленой двери' приветствуется даже принос собственной еды.

• Это не просто кафе, а настоящая социальная сеть, перешедшая в реальность. Здесь люди могут находить общество, обмениваться идеями, проводить время в приятной атмосфере и наслаждаться вкусом качественных напитков.

• Отличное место для тех, кто ценит не только кулинарные удовольствия, но и общение в дружелюбной обстановке.",1300,https://yandex.ru/maps/-/CDeHRT72,-
Повеселиться в антикафе Гнездо,антикафе,"Лялин переулок, 8с2","• Антикафе 'Гнездо' представляет собой пространство, привлекающее людей различных интересов: веселых студентов, творческих личностей, опытных менеджеров, романтичные пары и семьи с детьми.

• В этом уникальном месте каждый посетитель найдет что-то для себя.

• 'Гнездо' становится местом, где сливаются воедино разнообразие и взаимодействие множества различных личностей, создавая уютную атмосферу встреч и обмена идеями.",1200,https://yandex.ru/maps/-/CDeHRX42,креатив
Насладиться премиумом в антикафе-кальянной Barviha Lounge,антикафе,"Андропова, 22","• Просторные VIP-комнаты украшены уникальными произведениями художников, а на крыше оборудована летняя веранда.

• Приятная музыка создает атмосферу полного релакса, и по выходным здесь проходят концерты экстравагантных резидентов Barviha Lounge.

• Это место, где роскошь встречается с развлечениями, обеспечивая неповторимый опыт для ценителей комфорта и стиля.",1300,https://yandex.ru/maps/-/CCUWeWtxKC,описание
Развлечься в просторном зале антикафе Камин ,антикафе,"Грузинский Вал, 26, с3","• Общий зал нашего заведения — это просторное и уютное место с отдельными столиками, рассчитанными на 20 человек.

• Здесь вы окунетесь в разнообразие развлечений, включая PS5, PS4, бильярд, xBox 360, xBox One.

• Для любителей музыки доступны две гитары и укулеле.

• В это приятное пространство мы приглашаем вас насладиться разнообразием развлечений и уютной атмосферой в компании друзей или семьи.",500,https://yandex.ru/maps/-/CDeHRX~Z,креатив
Романтический ужин на крыше,мероприятие,на сайте,"• Организаторы проекта 'Культ крыш' приглашают вас подняться повыше и создать уникальные воспоминания!

• Устроить романтический вечер, праздник вдвоем или просто насладиться лекцией, например, о знаменитой высотке на Котельнической набережной, или встретить рассвет на одной из московских крыш.

• Ведь что может быть более романтичным, чем ощущение свободы и величия, находясь на высоте, где открывается великолепный вид на город?

• Присоединяйтесь к 'Культу крыш' и создайте незабываемые моменты в обрамлении уникальных московских пейзажей.",5000,https://walkmoscowdatemoscow.ru/,-
Насладиться видами в беседке на крыше Иглубар,мероприятие,"ул. Нижняя Красносельская, 35с59","• Иглу - это уникальные купольные беседки, установленные на крыше, чтобы предоставить захватывающий панорамный вид на столицу.

• Вас приглашают в Igloobar, чтобы прожить неповторимый опыт. Здесь вы можете забронировать иглу на двоих и наслаждаться уединением в уютной атмосфере, поглощая великолепные виды города, раскинувшегося перед вами.

• Это не просто место для отдыха, а возможность окунуться в уникальный опыт с панорамой, которая оставит незабываемые воспоминания.

• Ощутите магию момента в уютной и стильной обстановке, предоставляемой иглой на крыше.",2500,https://yandex.ru/maps/-/CDeHVAyc,-
Получить экстремальные эмоции во Freezone,мероприятие,"Московская область, Симферопольское шоссе, 59","• Погрузитесь в мир экстрима и необычных впечатлений, которые сделают ваше время вдвоем неповторимым.

• Ощутите адреналин, полетев в самой большой аэротрубе Восточной Европы, прокачайте свою точность в лазерном тире, и представьте себя настоящими серферами на искусственной волне в закрытом бассейне.

• После активного дня наслаждайтесь романтическим ужином в ресторане парка, где заботливо предварительно сервируют стол для создания особенной атмосферы.

• Здесь каждое мгновение наполнено волнением и весельем, готовым подарить вам незабываемые воспоминания.",3350,https://yandex.ru/maps/-/CDeHVEJH,-
Почувстуйте настояую высоту в ресторане Sixty,ресторан,"Пресненская наб., 12","• Расположенный на 62-м этаже башни ""Федерация"" в ""Москва-Сити"", ресторан Sixty заслуженно считается уникальным в столице.

• Этот изысканный ресторан предлагает завораживающий вид на город, который открывается из его окон, ставшими гордостью этого пространства.

• Отмечено, что такие окна уникальны и не встречаются нигде больше в мире.

• Ресторан Sixty становится идеальным местом для романтических моментов, таких как признание в любви, наблюдение за рассветами и создание совместных селфи на фоне великолепных закатов.",7000,https://yandex.ru/maps/-/CDec7-2f,-
Побывать на мосту-поцелуев,прогулка,"Кадашевская наб., дом 14/2","• Лужков мост, также известный как ""Мост поцелуев"", ""Мост влюбленных"" или ""Мост примирения"", стал неофициальной исторической частью Москвы. С 2007 года этот мост привлекает молодоженов, которые традиционно приезжают сюда, чтобы повесить замок на импровизированное дерево.

• За время существования моста, здесь вырос целый сад, состоящий из этих символов любви и верности. Особенным аттракционом является скамья примирения, спроектированная таким образом, что те, кто на нее садится, неизбежно скатываются друг к другу. Это забавное сооружение добавляет уникальный шарм этому месту.

• Кроме того, расположение моста близко к главным достопримечательностям столицы, что делает его отличным местом для начала прогулки по Москве.",0,https://yandex.ru/maps/-/CDeLmMK0,-
Прокатиться по канатной дороге,прогулка,"ул. Косыгина, 28","• Канатная дорога на Воробьевых горах, появившаяся в Москве в 2018 году, стала новым туристическим видом транспорта.

• Протяженность дороги составляет 720 метров, соединяя оба берега Москвы-реки и предоставляя уникальную возможность насладиться видом на столицу с птичьей высоты.

• Выбрав одну из 33 закрытых просторных кабин, посетители могут отправиться в захватывающее путешествие от смотровой площадки Воробьевых гор до спорткомплекса ""Лужники"".

• Этот вид досуга доступен круглогодично, предоставляя удовольствие как в теплое, так и в холодное время года.",900,https://yandex.ru/maps/-/CDeHVQY4,-
Попробовать разлычные виды чая в чайном клубе Железный феникс,кафе,б-р Рождественский 19,"• Чайный клуб ""Железный Феникс"" предлагает уникальное сочетание приятного и полезного.

• Здесь вы не только можете насладиться уникальными сортами чая, но и освоить искусство его заваривания, выбрав подходящую чайную церемонию и предварительно сообщив о своем визите.

• Продолжительность чайной церемонии составляет от 2 до 2,5 часов, предоставляя участникам максимум удовольствия от этого опыта.

• Кроме того, в клубе можно посетить уроки каллиграфии и росписи по фарфору, после чего обменяться с вашей второй половиной милыми подарками.

• Это место идеально для проведения времени вдвоем, обогащая опыт и создавая яркие воспоминания.",3000,https://yandex.ru/maps/-/CDeHVQ8s,-
Приготовить вместе в кулинарной студии Игра столов,мероприятие,"ул. Талалихина 37, 3 этаж","• Кулинарная студия ""Игра столов"" предлагает уникальный формат свидания, где вы не только насладитесь вкусным ужином, но и приготовите его сами.

• Вас ждет закрытый зал, опытный шеф-повар в вашем распоряжении, все необходимые продукты и оборудование.

• Вы сможете выбрать три блюда из меню, которые приготовите под руководством профессионала.

• После этого вас ожидает уютный ужин при свечах на двоих.

• Для участия в таком свидании необходимо предварительно подать заявку на сайте и выбрать одну из трех доступных студий.

• Этот опыт обещает не только вкусные блюда, но и незабываемые воспоминания от совместного творчества на кулинарной площадке.",4400,https://yandex.ru/maps/-/CDeHVQ3v,-
Прогулки под ивами в парке,прогулка,Новодевичья набережная,"• Парк ""Новодевичьи пруды"" — это настоящий оазис романтики в самом сердце Москвы.

• Здесь, среди зеленых аллей и тенистых ив, можно насладиться уединенной атмосферой, далекой от городской суеты.

• Прогулки в этом парке обещают необыкновенные виды на разные эпохи города: с одной стороны вы увидите старинный Новодевичий монастырь с его уникальными башнями и мощными стенами, с другой — современные архитектурные комплексы, такие как ""Дом на Мосфильмовской"" и ""Москва-Сити"".

• Этот уголок природы приглашает вас на спокойные, умиротворенные прогулки под заботливым насыщенным ароматом ив.",0,https://yandex.ru/maps/-/CDeHVUJU,-
Свидание под звездами,мероприятие,"Садовая-Кудринская улица, 5, строение 1","• Московский планетарий — идеальное место для неповторимого свидания под звездным небом.

• Здесь романтика переплетается с познавательным интересом.

• В столице не так просто устроить встречу, чтобы насладиться звездным светом из-за городских огней, но в этом одном из крупнейших планетариев мира вас ожидают яркие образы Млечного Пути и сотни созвездий круглый год.",1500,https://yandex.ru/maps/-/CCUkZDWbWD,-
Окунитесь в лето по среди зимы,мероприятие,"Ботаническая улица, 4, строение 2","• Фондовая оранжерея в Ботаническом саду — это удивительное место, где можно погрузиться в летнюю атмосферу даже в середине зимы.

• Когда большую часть года сопровождают слякоть, реагенты и унылые пейзажи, так хочется хотя бы временно насладиться яркими красками и пышной зеленью тропического рая.

• Фондовая оранжерея становится настоящим убежищем от холода и серости, позволяя окунуться в волшебный мир роскошной растительности и тепла.

• В этом оазисе природы каждый может насладиться чудесами тропиков, не покидая городскую суету.",800,https://yandex.ru/maps/-/CDeHVY1E,-
Прогулка на лошадях,прогулка,"Проспект Андропова, 39","• Насладитесь атмосферой старины и уединения, прокатившись на лошадях по живописным аллеям столичных парков.

• В различных частях города, таких как музей-заповедник ""Коломенское"" с комплексом ""Конюшенный двор"", парк ""Кузьминки"", Нескучный сад и Измайловский парк, можно насладиться увлекательной прогулкой верхом.

• Аттракционы от клуба верховой езды ""Эквиплан"" также доступны в указанных местах.

• Подарите себе и своему партнёру уникальный опыт, наслаждаясь красотой природы и спокойствием вместе.",600,https://yandex.ru/maps/-/CDeHV44S,-
Насладиться вечером в Romantic Room на 67 этаже МОСКВА-СИТИ,мероприятие,"Пресненская наб., 8, стр. 1","• Romantic Room предлагает уникальное пространство для романтических свиданий.

• Прокат пространств SKY CORNER и SKY PREMIER доступен на один-три часа, включая столик на двоих, уютное кресло-качалка и романтичное оформление свечами и воздушными шарами.

• Атмосфера места подходит для различных событий – от поздравлений с важными датами до предложений руки и сердца.

• Высокое расположение обеспечивает впечатляющий вид на Москву, создавая идеальное окружение для незабвенного вечера вдвоем.",4800,https://yandex.ru/maps/-/CDeHV4nG,-
"Повторить сцену из фильма ""Привидение"" в гончарной мастерской",мероприятие,"Старопетровский пр., 1, стр. 2","• ""Гончарная мастерская № 1"" предоставляет уютную атмосферу для романтических свиданий, где пары могут не только наслаждаться взаимной компанией, но и проявить свой творческий потенциал.

• В рамках трех программ, длительностью полтора часа каждая, гости учатся работать с глиной под руководством опытного мастера.

• Результатом становятся уникальные гончарные изделия, которые пары могут забрать с собой.

• Программа ""Полная романтика"" включает в себя мастер-класс по лепке, гончарному делу и росписи изделий.

• В романтически оформленном помещении гостей ждут свечи, музыка, вино и конфеты, а также возможность создать уникальные фотографии.",2000,https://yandex.ru/maps/-/CDeHV499,-
Удиви свою вторую половинку в студии рисования и творчества ZuART,мероприятие,"Трубная ул., 29, стр. 4","• Студия рисования и живописи ZuART приглашает пары на уникальное романтическое свидание в мастерскую творчества.

• Здесь влюбленные могут нарисовать свою собственную картину под руководством опытного мастера и забрать ее с собой как память о вечере.

• Программа включает в себя индивидуальное занятие, оформление студии свечами, цветком для дамы, а также угощение игристым вином и фруктами.

• Мастер-классы предлагают различные темы и техники, подходящие для парного творчества.

• Все необходимые материалы предоставляются на месте, создавая идеальные условия для необычного свидания.",2000,https://yandex.ru/maps/-/CDeHVBMU,-
Свидание в темноте,мероприятие,"Автозаводская ул., 18","• Сенсорная экспозиция ""Прогулка в темноте"" предлагает уникальное романтическое свидание, созданное для укрепления связи между влюбленными.

• Программа включает 45 минут в полной темноте, где пара проходит пять локаций, таких как ""Улица"", ""Квартира"", ""Лавка"", ""Музей"" и ""Бар"". Эти испытания требуют доверия и сотрудничества, что помогает парам лучше узнать друг друга.

• После этого следует 15-минутная светлая локация, где гости могут познакомиться с особенностями жизни людей без зрения.

• Эта уникальная программа обещает укрепить отношения и создать неповторимые воспоминания.",6500,https://yandex.ru/maps/-/CDeHVB5G,-
Свидание в VR,мероприятие,"Нижний Сусальный пер., 5, стр. 5А","• Клуб виртуальной реальности ""Нереальное место"" предлагает увлекательные VR-игры, погружая посетителей в различные сценарии, от рыцарей и ковбоев до современных воинов.

• Администраторы помогают новичкам освоить технику виртуальной реальности, что делает клуб интересным для широкой аудитории.

• В просторном зале с мягкими стенами можно свободно перемещаться, создавая реальные ощущения.

• Свидание в ""Нереальном месте"" становится захватывающим опытом, особенно если оба партнёра любят VR-игры. Клуб предлагает более 70 сюжетов, включая танцевальные конкурсы, поиск сокровищ и экстремальные гонки.

• Участие в играх помогает лучше узнать друг друга, обсудить результаты и укрепить отношения. Клуб предоставляет возможность забронировать зал для двоих, предоставляет фирменные шлемы и организует различные VR-игры и активности.",2180,https://yandex.ru/maps/-/CDeHVB0n,-
Свидание на крыше,мероприятие,"1-й Неопалимовский пер., 8","• ""One Love"" – это уникальное романтическое свидание на крыше в центре Москвы с великолепными видами города.

• Здесь вас ждут свечи, свежие фрукты и фоновая музыка на ваш выбор.

• Фотосессия включена в программу.  Время и дополнительные акценты обговариваются заранее, чтобы создать уют и волшебство в высоте для влюбленных.

• Погрузитесь в романтическую атмосферу и насладитесь неповторимым моментом с ""One Love"".",6900,https://yandex.ru/maps/-/CDeHVFpN,-
Свидание в небе,мероприятие,"Дмитровское ш., 167, стр. 30","• Клуб воздухоплавания ""Аэронавт"" предлагает уникальное романтическое свидание – полет на воздушном шаре.

• Продолжительность полета три-четыре часа, включая угощение шампанским и шоколадом, цветы для дамы и фотосессию.

• Полет осуществляется при любых метеоусловиях, обеспечивая участникам незабываемые впечатления и красивые виды города и природы.

• Предварительная договоренность и уточнение отношения к высоте желательны для комфортного восприятия сюрприза.",16000,https://yandex.ru/maps/-/CDeHVJjD,-
